ResultId,Drivers points,Qualifying position,Result_Race-1,Total gained/lost positions,Index DNF/Driver,Average Lost laps
23637.0,0.4166666666666667,19.0,20.0,25.0,0.3333333333333333,0.8333333333333334
23638.0,0.8333333333333334,13.0,18.0,-20.0,0.7368421052631579,0.1666666666666666
23639.0,0.0,18.0,16.0,34.0,0.6,0.8333333333333334
23640.0,0.0833333333333333,10.0,14.0,13.0,0.6,0.5833333333333334
23641.0,0.0,17.0,13.0,8.0,0.625,0.5833333333333334
23642.0,18.307692307692307,5.0,1.0,5.0,0.0,0.0
23643.0,11.076923076923077,3.0,4.0,25.0,2.4,0.0
23644.0,15.153846153846152,6.0,2.0,-10.0,0.4,0.0
23645.0,2.769230769230769,10.0,14.0,6.0,3.2,0.3846153846153846
23646.0,4.461538461538462,12.0,9.0,2.0,0.4,0.4615384615384615
23647.0,0.0,11.0,20.0,5.0,2.5,0.5384615384615384
23648.0,0.0769230769230769,9.0,19.0,12.0,2.4,0.5384615384615384
23649.0,1.8461538461538465,18.0,7.0,15.0,1.6,0.5384615384615384
23650.0,1.8461538461538465,15.0,15.0,7.0,1.2,0.4615384615384615
23651.0,4.230769230769231,14.0,6.0,28.0,0.4,0.4615384615384615
23652.0,2.3846153846153846,17.0,8.0,-7.0,0.8421052631578947,0.4615384615384615
23653.0,0.3846153846153846,19.0,16.0,21.0,1.3333333333333333,0.9230769230769232
23654.0,0.8461538461538461,16.0,11.0,14.0,2.0,0.6153846153846154
23655.0,2.6153846153846154,7.0,13.0,-18.0,2.4,0.3846153846153846
23656.0,0.0,20.0,18.0,27.0,2.4,0.7692307692307693
23657.0,0.3076923076923077,13.0,12.0,-15.0,2.1333333333333333,0.7692307692307693
23658.0,0.7692307692307693,8.0,17.0,-18.0,2.9473684210526314,0.1538461538461538
23659.0,18.07692307692308,1.0,3.0,0.0,0.8,0.0
23660.0,5.230769230769231,2.0,10.0,-64.0,2.8,0.0769230769230769
23661.0,10.615384615384617,4.0,5.0,-35.0,1.2,0.0
23662.0,4.857142857142857,3.0,19.0,-81.0,0.7,0.0714285714285714
23663.0,18.785714285714285,1.0,1.0,9.0,0.0,0.0
23664.0,11.571428571428571,4.0,2.0,26.0,0.6,0.0
23665.0,16.785714285714285,20.0,18.0,-17.0,0.2,0.0
23666.0,15.142857142857142,5.0,3.0,-7.0,0.1,0.0
23667.0,4.857142857142857,9.0,5.0,9.0,0.1,0.4285714285714285
23668.0,0.5,7.0,7.0,14.0,0.6,0.5
23669.0,2.0,13.0,8.0,25.0,0.4,0.5
23670.0,2.2142857142857144,11.0,11.0,-1.0,0.2105263157894736,0.4285714285714285
23671.0,4.0,6.0,10.0,32.0,0.1,0.4285714285714285
23672.0,0.7142857142857143,10.0,17.0,-27.0,0.7368421052631579,0.1428571428571428
23673.0,0.7857142857142857,17.0,13.0,17.0,0.5,0.5714285714285714
23674.0,1.8571428571428568,16.0,9.0,13.0,0.3,0.4285714285714285
23675.0,0.0,15.0,10.0,0.0,0.0,0.0
23676.0,0.5714285714285714,12.0,6.0,10.0,0.625,0.5
23677.0,2.4285714285714284,8.0,14.0,-25.0,0.6,0.3571428571428571
23678.0,0.3571428571428571,18.0,12.0,28.0,0.3333333333333333,1.0
23679.0,0.0,19.0,15.0,32.0,0.6,0.7142857142857143
23680.0,3.4285714285714284,14.0,4.0,12.0,0.8,0.3571428571428571
23681.0,9.857142857142858,2.0,20.0,-51.0,0.3,0.0
23682.0,18.73333333333333,1.0,2.0,8.0,0.0,0.0
23683.0,6.2,5.0,1.0,-79.0,1.75,0.0666666666666666
23684.0,11.8,4.0,3.0,27.0,1.5,0.0
23685.0,14.8,2.0,5.0,-7.0,0.25,0.0
23686.0,9.2,6.0,20.0,-50.0,0.75,0.0
23687.0,3.8,7.0,10.0,28.0,0.25,0.4666666666666667
23688.0,5.066666666666666,8.0,6.0,12.0,0.25,0.4
23689.0,0.7333333333333333,13.0,12.0,22.0,1.25,0.6
23690.0,1.7333333333333334,16.0,13.0,16.0,0.75,0.4666666666666667
23691.0,2.2,9.0,9.0,1.0,0.5263157894736842,0.4666666666666667
23692.0,0.6666666666666666,10.0,11.0,-28.0,1.8421052631578947,0.2
23693.0,0.5333333333333333,14.0,15.0,7.0,1.5625,0.5333333333333333
23694.0,0.0,17.0,14.0,1.0,0.0,0.0666666666666666
23695.0,0.8666666666666667,11.0,7.0,14.0,1.5,0.5333333333333333
23696.0,0.3333333333333333,20.0,17.0,29.0,0.8333333333333333,1.0
23697.0,2.1333333333333333,18.0,8.0,30.0,1.0,0.5333333333333333
23698.0,2.2666666666666666,12.0,16.0,-33.0,1.5,0.4
23699.0,0.0,19.0,18.0,33.0,1.5,0.8
23700.0,16.466666666666665,3.0,4.0,-1.0,0.5,0.0
23701.0,3.2,15.0,19.0,7.0,2.0,0.3333333333333333
23702.0,19.125,1.0,1.0,8.0,0.0,0.0
23703.0,15.4375,2.0,19.0,-18.0,0.4,0.0
23704.0,9.25,5.0,5.0,-45.0,0.6,0.0
23705.0,6.9375,6.0,2.0,-77.0,1.4,0.0625
23706.0,14.625,3.0,4.0,-5.0,0.2,0.0
23707.0,4.0625,7.0,6.0,27.0,0.2,0.4375
23708.0,3.0,8.0,20.0,6.0,1.6,0.3125
23709.0,5.125,10.0,7.0,12.0,0.2,0.375
23710.0,2.125,11.0,10.0,-1.0,0.4210526315789473,0.5
23711.0,0.25,12.0,16.0,-18.0,1.0666666666666669,0.625
